Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,183.67
Elapsed Live Time:,166.16
Start Time:,September 05, 2019, 04:18:17
End Time:,September 05, 2019, 04:21:20
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,199,264,109203,11130,26,229

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,1
75,,9
76,,10
77,,12
78,,12
79,,10
80,,23
81,,16
82,,16
83,,28
84,,49
85,,922
86,,3603
87,,4572
88,,4457
89,,4653
90,,4451
91,,4697
92,,4737
93,,4933
94,,5088
95,,5435
96,,5692
97,,6462
98,,6473
99,,7294
100,,7821
101,,8775
102,,9111
103,,9942
104,,10812
105,,12109
106,,12449
107,,13503
108,,13995
109,,15157
110,,14853
111,,15556
112,,15471
113,,15660
114,,14925
115,,14861
116,,13880
117,,13670
118,,12659
119,,11923
120,,10943
121,,10435
122,,9129
123,,8300
124,,7283
125,,6856
126,,6066
127,,5181
128,,4769
129,,4201
130,,3648
131,,3216
132,,3069
133,,2807
134,,2510
135,,2404
136,,2309
137,,2229
138,,2012
139,,2085
140,,1986
141,,2093
142,,2073
143,,2144
144,,2028
145,,2290
146,,2199
147,,2306
148,,2389
149,,2495
150,,2604
151,,2660
152,,2657
153,,2869
154,,2736
155,,2997
156,,2919
157,,2989
158,,2925
159,,3015
160,,3011
161,,3012
162,,2839
163,,2804
164,,2700
165,,2641
166,,2518
167,,2360
168,,2405
169,,2403
170,,2145
171,,2147
172,,1942
173,,1904
174,,1875
175,,1783
176,,1666
177,,1725
178,,1589
179,,1594
180,,1498
181,,1579
182,,1520
183,,1527
184,,1448
185,,1551
186,,1523
187,,1538
188,,1484
189,,1523
190,,1503
191,,1577
192,,1527
193,,1624
194,,1562
195,,1504
196,,1699
197,,1748
198,,1595
199,,1749
200,,1678
201,,1745
202,,1720
203,,1785
204,,1835
205,,1819
206,,1840
207,,1875
208,,1749
209,,1937
210,,1831
211,,1933
212,,1869
213,,2011
214,,1875
215,,1926
216,,1812
217,,1967
218,,1863
219,,1908
220,,1864
221,,1928
222,,1783
223,,1882
224,,1816
225,,1901
226,,1795
227,,1906
228,,1816
229,,1781
230,,1703
231,,1716
232,,1709
233,,1690
234,,1619
235,,1672
236,,1566
237,,1630
238,,1615
239,,1646
240,,1547
241,,1608
242,,1537
243,,1483
244,,1469
245,,1479
246,,1521
247,,1464
248,,1446
249,,1415
250,,1434
251,,1390
252,,1312
253,,1488
254,,1452
255,,1441
256,,1383
257,,1369
258,,1336
259,,1249
260,,1362
261,,1383
262,,1292
263,,1287
264,,1291
265,,1321
266,,1221
267,,1234
268,,1284
269,,1232
270,,1128
271,,1229
272,,1212
273,,1225
274,,1192
275,,1144
276,,1112
277,,1172
278,,1109
279,,1081
280,,1076
281,,1112
282,,1060
283,,1082
284,,1027
285,,1066
286,,1001
287,,1000
288,,1049
289,,1053
290,,1020
291,,971
292,,977
293,,968
294,,951
295,,921
296,,947
297,,999
298,,924
299,,932
300,,917
301,,944
302,,865
303,,933
304,,898
305,,905
306,,866
307,,900
308,,835
309,,910
310,,903
311,,838
312,,826
313,,816
314,,787
315,,828
316,,766
317,,821
318,,761
319,,785
320,,814
321,,827
322,,795
323,,751
324,,742
325,,779
326,,746
327,,768
328,,746
329,,800
330,,737
331,,763
