Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,69.45
Elapsed Live Time:,67.16
Start Time:,September 05, 2019, 04:15:55
End Time:,September 05, 2019, 04:17:04
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,199,264,5537,-173,4,232

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,2
79,,2
80,,0
81,,2
82,,0
83,,0
84,,0
85,,11
86,,73
87,,73
88,,97
89,,80
90,,85
91,,89
92,,76
93,,88
94,,95
95,,115
96,,99
97,,120
98,,107
99,,103
100,,111
101,,113
102,,93
103,,113
104,,107
105,,107
106,,120
107,,102
108,,119
109,,107
110,,112
111,,91
112,,110
113,,105
114,,92
115,,104
116,,106
117,,113
118,,91
119,,101
120,,84
121,,104
122,,107
123,,82
124,,90
125,,102
126,,80
127,,85
128,,92
129,,84
130,,77
131,,83
132,,90
133,,76
134,,96
135,,66
136,,78
137,,74
138,,79
139,,71
140,,63
141,,78
142,,72
143,,81
144,,71
145,,69
146,,83
147,,86
148,,85
149,,72
150,,74
151,,75
152,,82
153,,84
154,,84
155,,103
156,,86
157,,89
158,,68
159,,84
160,,79
161,,91
162,,68
163,,72
164,,65
165,,87
166,,87
167,,71
168,,67
169,,102
170,,89
171,,76
172,,83
173,,100
174,,81
175,,84
176,,92
177,,75
178,,89
179,,61
180,,83
181,,87
182,,94
183,,77
184,,71
185,,80
186,,91
187,,77
188,,72
189,,83
190,,83
191,,89
192,,73
193,,87
194,,79
195,,88
196,,78
197,,91
198,,74
199,,87
200,,78
201,,80
202,,86
203,,86
204,,94
205,,75
206,,85
207,,65
208,,80
209,,83
210,,81
211,,76
212,,74
213,,82
214,,93
215,,93
216,,97
217,,87
218,,72
219,,92
220,,75
221,,81
222,,70
223,,77
224,,81
225,,83
226,,83
227,,71
228,,99
229,,77
230,,76
231,,83
232,,71
233,,85
234,,86
235,,79
236,,70
237,,62
238,,79
239,,75
240,,80
241,,94
242,,82
243,,77
244,,83
245,,88
246,,91
247,,72
248,,96
249,,92
250,,77
251,,91
252,,86
253,,88
254,,100
255,,89
256,,98
257,,90
258,,97
259,,89
260,,88
261,,96
262,,99
263,,91
264,,94
265,,102
266,,81
267,,82
268,,89
269,,86
270,,70
271,,108
272,,89
273,,92
274,,94
275,,118
276,,107
277,,96
278,,105
279,,84
280,,86
281,,125
282,,86
283,,111
284,,95
285,,109
286,,115
287,,116
288,,108
289,,110
290,,120
291,,121
292,,107
293,,136
294,,119
295,,117
296,,106
297,,140
298,,120
299,,104
300,,130
301,,131
302,,134
303,,108
304,,135
305,,114
306,,114
307,,130
308,,115
309,,108
310,,121
311,,118
312,,112
313,,112
314,,129
315,,130
316,,114
317,,131
318,,99
319,,123
320,,125
321,,96
322,,126
323,,110
324,,118
325,,115
326,,114
327,,130
328,,119
329,,97
330,,116
331,,113
332,,110
333,,136
334,,109
335,,86
336,,109
337,,104
338,,121
339,,107
340,,123
341,,95
342,,119
343,,115
344,,90
345,,90
346,,102
347,,106
348,,93
349,,102
350,,102
351,,95
352,,105
353,,91
354,,101
355,,105
356,,100
357,,112
358,,101
359,,99
360,,99
361,,125
362,,77
363,,112
364,,109
365,,90
366,,86
367,,106
368,,85
369,,102
370,,93
371,,87
372,,80
