Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,185.21
Elapsed Live Time:,183.51
Start Time:,September 05, 2019, 04:10:12
End Time:,September 05, 2019, 04:13:16
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,199,264,6512,-485,0,232

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,15
86,,64
87,,105
88,,103
89,,107
90,,90
91,,117
92,,100
93,,106
94,,116
95,,111
96,,114
97,,123
98,,113
99,,116
100,,120
101,,108
102,,130
103,,126
104,,138
105,,143
106,,141
107,,124
108,,132
109,,121
110,,116
111,,101
112,,104
113,,124
114,,121
115,,107
116,,90
117,,122
118,,114
119,,120
120,,90
121,,129
122,,120
123,,108
124,,99
125,,113
126,,91
127,,117
128,,101
129,,103
130,,88
131,,91
132,,110
133,,104
134,,92
135,,91
136,,105
137,,126
138,,114
139,,107
140,,84
141,,94
142,,107
143,,121
144,,94
145,,91
146,,89
147,,110
148,,114
149,,108
150,,99
151,,93
152,,108
153,,96
154,,118
155,,89
156,,109
157,,104
158,,101
159,,103
160,,97
161,,106
162,,103
163,,98
164,,96
165,,120
166,,90
167,,104
168,,100
169,,73
170,,85
171,,113
172,,112
173,,109
174,,80
175,,100
176,,99
177,,94
178,,100
179,,97
180,,102
181,,107
182,,100
183,,109
184,,94
185,,97
186,,89
187,,83
188,,90
189,,86
190,,102
191,,100
192,,111
193,,89
194,,83
195,,101
196,,91
197,,107
198,,90
199,,98
200,,101
201,,86
202,,75
203,,119
204,,96
205,,113
206,,93
207,,103
208,,108
209,,108
210,,73
211,,116
212,,103
213,,79
214,,105
215,,88
216,,92
217,,124
218,,70
219,,99
220,,90
221,,81
222,,74
223,,115
224,,80
225,,101
226,,97
227,,103
228,,96
229,,102
230,,98
231,,77
232,,96
233,,107
234,,95
235,,91
236,,87
237,,109
238,,102
239,,103
240,,117
241,,107
242,,109
243,,104
244,,87
245,,92
246,,91
247,,98
248,,89
249,,101
250,,93
251,,96
252,,87
253,,99
254,,95
255,,104
256,,103
257,,116
258,,108
259,,111
260,,113
261,,116
262,,97
263,,115
264,,111
265,,127
266,,112
267,,118
268,,123
269,,120
270,,123
271,,107
272,,124
273,,117
274,,126
275,,120
276,,113
277,,125
278,,122
279,,115
280,,114
281,,122
282,,145
283,,133
284,,129
285,,137
286,,120
287,,112
288,,106
289,,113
290,,111
291,,130
292,,111
293,,129
294,,116
295,,130
296,,123
297,,128
298,,128
299,,123
300,,109
301,,112
302,,112
303,,102
304,,115
305,,111
306,,121
307,,118
308,,122
309,,133
310,,112
311,,88
312,,110
313,,91
314,,108
315,,118
316,,124
317,,107
318,,105
319,,124
320,,101
321,,129
322,,105
323,,109
324,,107
325,,121
326,,111
327,,100
328,,106
329,,110
330,,92
331,,113
332,,110
333,,83
334,,107
335,,95
336,,101
337,,130
338,,96
339,,115
340,,111
341,,99
342,,97
343,,103
344,,81
345,,94
346,,91
347,,108
348,,104
349,,98
350,,118
351,,110
352,,107
353,,86
354,,105
355,,112
356,,98
357,,105
358,,77
359,,89
360,,114
361,,99
362,,93
363,,103
364,,91
365,,112
366,,108
367,,95
368,,100
369,,100
370,,86
371,,95
372,,92
