Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,90.65
Elapsed Live Time:,84.38
Start Time:,September 05, 2019, 04:06:23
End Time:,September 05, 2019, 04:07:53
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,199,264,30753,887,5,233

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,1
71,,0
72,,0
73,,1
74,,0
75,,2
76,,6
77,,3
78,,9
79,,7
80,,4
81,,3
82,,2
83,,8
84,,5
85,,87
86,,335
87,,439
88,,466
89,,440
90,,450
91,,478
92,,486
93,,449
94,,478
95,,501
96,,497
97,,517
98,,493
99,,530
100,,500
101,,542
102,,545
103,,514
104,,531
105,,485
106,,464
107,,522
108,,546
109,,546
110,,500
111,,498
112,,479
113,,487
114,,449
115,,442
116,,458
117,,434
118,,412
119,,454
120,,444
121,,451
122,,446
123,,417
124,,453
125,,439
126,,375
127,,440
128,,417
129,,424
130,,408
131,,422
132,,439
133,,417
134,,419
135,,417
136,,370
137,,401
138,,422
139,,384
140,,376
141,,389
142,,446
143,,411
144,,383
145,,378
146,,413
147,,417
148,,418
149,,381
150,,394
151,,388
152,,411
153,,389
154,,379
155,,435
156,,373
157,,410
158,,394
159,,439
160,,398
161,,394
162,,370
163,,361
164,,367
165,,406
166,,396
167,,385
168,,377
169,,413
170,,373
171,,377
172,,418
173,,383
174,,390
175,,381
176,,421
177,,415
178,,399
179,,376
180,,376
181,,391
182,,367
183,,394
184,,375
185,,425
186,,411
187,,417
188,,396
189,,447
190,,386
191,,428
192,,397
193,,425
194,,424
195,,406
196,,451
197,,369
198,,406
199,,385
200,,398
201,,402
202,,398
203,,392
204,,422
205,,455
206,,378
207,,383
208,,408
209,,414
210,,405
211,,385
212,,388
213,,405
214,,425
215,,386
216,,396
217,,413
218,,388
219,,454
220,,418
221,,463
222,,472
223,,444
224,,431
225,,509
226,,474
227,,445
228,,489
229,,486
230,,473
231,,495
232,,486
233,,483
234,,470
235,,489
236,,492
237,,472
238,,497
239,,497
240,,476
241,,518
242,,526
243,,510
244,,534
245,,495
246,,500
247,,481
248,,546
249,,471
250,,471
251,,526
252,,521
253,,555
254,,504
255,,532
256,,506
257,,558
258,,500
259,,480
260,,565
261,,523
262,,479
263,,496
264,,515
265,,521
266,,483
267,,535
268,,488
269,,542
270,,492
271,,498
272,,481
273,,519
274,,519
275,,504
276,,460
277,,511
278,,479
279,,475
280,,518
281,,508
282,,507
283,,490
284,,507
285,,483
286,,497
287,,464
288,,476
289,,488
290,,457
291,,475
292,,475
293,,479
294,,437
295,,444
296,,504
297,,511
298,,453
299,,486
300,,446
301,,449
302,,448
303,,496
304,,481
305,,436
306,,478
307,,466
308,,425
309,,457
310,,447
311,,468
312,,493
313,,478
314,,466
315,,452
316,,436
317,,446
318,,480
319,,446
320,,454
321,,472
322,,410
323,,467
324,,487
325,,477
326,,465
327,,423
328,,463
329,,445
330,,435
331,,470
332,,475
333,,473
334,,422
335,,438
336,,431
337,,415
338,,386
339,,457
340,,437
341,,426
342,,395
343,,461
344,,399
345,,438
346,,446
347,,421
348,,440
349,,449
350,,371
351,,376
352,,422
353,,462
354,,429
355,,439
356,,437
357,,405
358,,411
359,,463
360,,441
361,,436
362,,424
363,,456
364,,428
365,,457
366,,425
367,,401
368,,410
369,,439
370,,428
371,,404
372,,432
373,,464
