Channel,net counts,Counts(w),counts(wo),N=1.107
0,0,0,0,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,
32,0,0,0,
33,0,0,0,
34,0,0,0,
35,0,0,0,
36,0,0,0,
37,0,0,0,
38,0,0,0,
39,0,0,0,
40,0,0,0,
41,0,0,0,
42,0,0,0,
43,0,0,0,
44,0,0,0,
45,0,0,0,
46,0,0,0,
47,0,0,0,
48,0,0,0,
49,0,0,0,
50,0,0,0,
51,0,0,0,
52,0,0,0,
53,0,0,0,
54,0,0,0,
55,0,0,0,
56,0,0,0,
57,0,0,0,
58,0,0,0,
59,0,0,0,
60,0,0,0,
61,0,0,0,
62,0,0,0,
63,0,0,0,
64,0,0,0,
65,0,0,0,
66,0,0,0,
67,0,0,0,
68,0,0,0,
69,0,0,0,
70,0,0,0,
71,0,0,0,
72,0,0,0,
73,0,0,0,
74,0,0,0,
75,0,0,0,
76,0,0,0,
77,0,0,0,
78,0,0,0,
79,0,0,0,
80,0,0,0,
81,0,0,0,
82,0,0,0,
83,0,0,0,
84,0,0,0,
85,5,9,4,
86,14,70,51,
87,17,144,115,
88,20,154,121,
89,31,167,123,
90,62,159,88,
91,43,158,104,
92,21,143,110,
93,50,192,128,
94,59,177,107,
95,54,197,129,
96,7,186,162,
97,29,221,173,
98,73,245,155,
99,36,221,167,
100,19,244,203,
101,71,248,160,
102,59,257,179,
103,47,230,165,
104,56,239,165,
105,52,261,189,
106,56,256,181,
107,73,260,169,
108,51,241,172,
109,32,236,184,
110,10,189,162,
111,23,205,164,
112,26,208,164,
113,30,220,172,
114,38,212,157,
115,55,207,137,
116,51,206,140,
117,22,189,151,
118,25,184,144,
119,41,179,125,
120,70,197,115,
121,50,185,122,
122,2,149,133,
123,25,164,126,
124,52,172,108,
125,46,180,121,
126,40,155,104,
127,41,157,105,
128,33,146,102,
129,33,160,115,
130,27,141,103,
131,20,131,100,
132,46,166,108,
133,18,141,111,
134,5,150,131,
135,20,146,114,
136,-5,107,101,
137,51,135,76,
138,5,137,119,
139,37,160,111,
140,33,149,105,
141,22,148,114,
142,21,136,104,
143,23,147,112,
144,17,119,92,
145,17,138,109,
146,-2,120,110,
147,39,150,100,
148,41,137,87,
149,39,152,102,
150,36,150,103,
151,28,143,104,
152,31,151,108,
153,36,160,112,
154,10,125,104,
155,40,150,99,
156,12,143,118,
157,42,158,105,
158,48,140,83,
159,22,135,102,
160,17,132,104,
161,16,129,102,
162,15,115,90,
163,54,147,84,
164,43,145,92,
165,31,126,86,
166,67,161,85,
167,36,117,73,
168,33,138,95,
169,26,141,104,
170,15,132,106,
171,37,134,88,
172,33,135,92,
173,50,137,79,
174,31,138,97,
175,36,121,77,
176,19,134,104,
177,29,132,93,
178,58,141,75,
179,41,146,95,
180,35,137,92,
181,78,171,84,
182,50,137,79,
183,81,175,85,
184,51,132,73,
185,35,128,84,
186,14,122,98,
187,25,121,87,
188,57,158,91,
189,63,156,84,
190,37,139,92,
191,54,141,79,
192,25,140,104,
193,38,123,77,
194,12,113,91,
195,25,128,93,
196,52,153,91,
197,71,146,68,
198,54,126,65,
199,15,104,80,
200,49,129,72,
201,46,133,79,
202,35,117,74,
203,46,122,69,
204,38,132,85,
205,51,146,86,
