Channel,net Counts,Counts(w),Counts(wo),N=1.1586
0,0,0,0,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,
32,0,0,0,
33,0,0,0,
34,0,0,0,
35,0,0,0,
36,0,0,0,
37,0,0,0,
38,0,0,0,
39,0,0,0,
40,0,0,0,
41,0,0,0,
42,0,0,0,
43,0,0,0,
44,0,0,0,
45,0,0,0,
46,0,0,0,
47,0,0,0,
48,0,0,0,
49,0,0,0,
50,0,0,0,
51,0,0,0,
52,0,0,0,
53,0,0,0,
54,0,0,0,
55,0,0,0,
56,0,0,0,
57,0,0,0,
58,0,0,0,
59,0,0,0,
60,0,0,0,
61,0,0,0,
62,0,0,0,
63,0,0,0,
64,0,0,0,
65,0,0,0,
66,0,0,0,
67,0,0,0,
68,0,0,0,
69,0,0,0,
70,0,0,0,
71,0,0,0,
72,0,0,0,
73,0,0,0,
74,0,0,0,
75,0,0,0,
76,0,0,0,
77,0,1,1,
78,1,2,1,
79,0,0,0,
80,0,0,0,
81,0,0,0,
82,1,1,0,
83,2,2,0,
84,15,17,2,
85,56,68,10,
86,51,195,124,
87,150,401,217,
88,87,426,293,
89,140,437,256,
90,136,413,239,
91,41,423,330,
92,115,471,307,
93,165,500,289,
94,132,519,334,
95,132,527,341,
96,160,584,366,
97,170,640,406,
98,186,594,352,
99,176,629,391,
100,159,682,451,
101,190,703,443,
102,111,664,477,
103,172,698,454,
104,124,689,488,
105,248,772,452,
106,159,690,458,
107,105,684,500,
108,156,668,442,
109,106,660,478,
110,135,632,429,
111,114,642,456,
112,113,598,419,
113,136,642,437,
114,150,566,359,
115,90,559,405,
116,154,588,375,
117,169,586,360,
118,184,571,334,
119,129,519,337,
120,127,542,358,
121,112,465,305,
122,120,456,290,
123,139,504,315,
124,155,500,298,
125,143,473,285,
126,137,446,267,
127,92,406,271,
128,107,422,272,
129,120,427,265,
130,113,381,231,
131,82,370,249,
132,68,372,262,
133,99,399,259,
134,139,387,214,
135,43,354,268,
136,61,366,263,
137,78,357,241,
138,93,357,228,
139,97,366,232,
140,56,348,252,
141,95,377,243,
142,125,375,216,
143,70,333,227,
144,61,319,223,
145,77,364,248,
146,101,388,248,
147,122,373,217,
148,111,362,217,
149,26,347,277,
150,113,375,226,
151,89,355,230,
152,101,358,222,
153,123,383,224,
154,55,327,235,
155,90,338,214,
156,95,338,210,
157,65,364,258,
158,65,340,237,
159,97,357,224,
160,108,363,220,
161,163,396,201,
162,130,380,216,
163,93,342,215,
164,64,348,245,
165,68,369,260,
166,74,334,224,
167,94,354,224,
168,97,354,222,
169,69,355,247,
170,96,339,210,
171,88,370,243,
172,47,326,241,
173,81,337,221,
174,90,326,204,
175,83,369,247,
176,114,335,191,
177,99,385,247,
178,114,336,192,
179,132,335,175,
180,67,325,223,
181,53,325,235,
182,97,336,206,
183,114,355,208,
184,74,332,223,
185,46,302,221,
186,87,319,200,
187,108,341,201,
188,123,349,195,
189,106,327,191,
190,84,317,201,
191,117,329,183,
192,87,333,212,
193,100,340,207,
194,86,327,208,
195,113,326,184,
196,123,342,189,
197,92,326,202,
198,98,320,192,
199,64,299,203,
200,91,300,180,
201,123,327,176,
202,105,303,171,
203,80,305,194,
204,117,309,166,
205,106,330,193,
