Channel,Energy,Counts(w),Counts(wo),N=1.273
0,0,0,0,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,
32,0,0,0,
33,0,0,0,
34,0,0,0,
35,0,0,0,
36,0,0,0,
37,0,0,0,
38,0,0,0,
39,0,0,0,
40,0,0,0,
41,0,0,0,
42,0,0,0,
43,0,0,0,
44,0,0,0,
45,0,0,0,
46,0,0,0,
47,0,0,0,
48,0,0,0,
49,0,0,0,
50,0,0,0,
51,0,0,0,
52,0,0,0,
53,0,0,0,
54,0,0,0,
55,0,0,0,
56,0,0,0,
57,0,0,0,
58,0,0,0,
59,0,0,0,
60,0,0,0,
61,0,0,0,
62,0,0,0,
63,0,0,0,
64,0,0,0,
65,0,0,0,
66,0,0,0,
67,0,0,0,
68,0,0,0,
69,0,0,0,
70,0,0,0,
71,0,0,0,
72,0,0,0,
73,0,0,0,
74,0,0,0,
75,0,0,0,
76,0,0,0,
77,0,0,0,
78,0,0,0,
79,0,0,0,
80,0,0,0,
81,0,0,0,
82,0,0,0,
83,1,1,0,
84,6,6,0,
85,15,35,16,
86,12,186,137,
87,39,320,221,
88,56,327,213,
89,104,352,195,
90,26,324,234,
91,70,345,216,
92,75,346,213,
93,104,430,256,
94,87,429,269,
95,87,457,291,
96,124,474,275,
97,116,514,313,
98,83,503,330,
99,86,501,326,
100,136,560,333,
101,60,527,367,
102,22,530,399,
103,72,543,370,
104,129,539,322,
105,102,598,390,
106,54,515,362,
107,74,511,343,
108,100,551,354,
109,100,537,343,
110,98,490,308,
111,46,485,345,
112,47,471,333,
113,37,470,340,
114,22,420,313,
115,109,468,282,
116,46,419,293,
117,124,459,263,
118,51,386,263,
119,87,431,270,
120,73,410,265,
121,39,359,251,
122,62,364,237,
123,43,345,237,
124,28,318,228,
125,72,362,228,
126,48,334,225,
127,2,320,250,
128,17,298,221,
129,49,295,193,
130,68,330,206,
131,61,289,179,
132,67,300,183,
133,52,318,209,
134,126,332,162,
135,55,313,203,
136,41,268,178,
137,52,308,201,
138,59,289,181,
139,42,294,198,
140,117,326,164,
141,64,300,185,
142,120,325,161,
143,53,290,186,
144,73,316,191,
145,86,315,180,
146,73,282,164,
147,47,289,190,
148,62,285,175,
149,79,323,192,
150,46,271,177,
151,18,269,197,
152,30,282,198,
153,56,285,180,
154,86,297,166,
155,66,324,203,
156,27,292,208,
157,54,306,198,
158,61,307,193,
159,76,310,184,
160,70,340,212,
161,39,291,198,
162,69,308,188,
163,63,300,186,
164,47,309,206,
165,66,319,199,
166,85,305,173,
167,51,298,194,
168,51,298,194,
169,91,297,162,
170,44,271,178,
171,57,309,198,
172,34,284,196,
173,69,293,176,
174,87,306,172,
175,41,282,189,
176,41,269,179,
177,41,284,191,
178,118,319,158,
179,33,284,197,
180,52,288,185,
181,58,272,168,
182,84,288,160,
183,63,273,165,
184,45,265,173,
185,101,303,159,
186,75,286,166,
187,20,267,194,
188,28,248,173,
189,120,307,147,
190,15,243,179,
191,73,302,180,
192,89,284,153,
193,62,299,186,
194,90,278,148,
195,40,237,155,
196,31,284,199,
197,31,279,195,
198,53,253,157,
199,66,294,179,
200,59,256,155,
201,58,263,161,
202,67,277,165,
203,100,295,153,
204,50,268,171,
205,62,275,167,
