Channel,net counts,Counts(w),Counts(wo),N=2
0,0,0,0,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,
32,0,0,0,
33,0,0,0,
34,0,0,0,
35,0,0,0,
36,0,0,0,
37,0,0,0,
38,0,0,0,
39,0,0,0,
40,0,0,0,
41,0,0,0,
42,0,0,0,
43,0,0,0,
44,0,0,0,
45,0,0,0,
46,0,0,0,
47,0,0,0,
48,0,0,0,
49,0,0,0,
50,0,0,0,
51,0,0,0,
52,0,0,0,
53,0,0,0,
54,0,0,0,
55,0,0,0,
56,0,0,0,
57,0,0,0,
58,0,0,0,
59,0,0,0,
60,0,0,0,
61,0,0,0,
62,0,0,0,
63,0,0,0,
64,0,0,0,
65,0,0,0,
66,0,0,0,
67,0,0,0,
68,0,0,0,
69,0,0,0,
70,0,0,0,
71,0,0,0,
72,0,0,0,
73,0,0,0,
74,0,0,0,
75,0,0,0,
76,0,0,0,
77,0,0,0,
78,0,0,0,
79,0,0,0,
80,0,0,0,
81,0,0,0,
82,0,0,0,
83,0,0,0,
84,3,5,1,
85,8,38,15,
86,48,278,115,
87,106,504,199,
88,67,481,207,
89,64,514,225,
90,127,495,184,
91,108,526,209,
92,150,568,209,
93,43,567,262,
94,60,598,269,
95,86,666,290,
96,169,709,270,
97,162,742,290,
98,92,756,332,
99,131,805,337,
100,132,774,321,
101,144,862,359,
102,54,798,372,
103,38,824,393,
104,111,809,349,
105,186,896,355,
106,68,810,371,
107,156,834,339,
108,195,827,316,
109,84,792,354,
110,144,734,295,
111,70,734,332,
112,166,758,296,
113,52,742,345,
114,41,659,309,
115,41,661,310,
116,99,637,269,
117,78,674,298,
118,101,647,273,
119,98,564,233,
120,116,608,246,
121,60,580,260,
122,99,557,229,
123,54,544,245,
124,68,514,223,
125,45,503,229,
126,156,524,184,
127,58,470,206,
128,85,461,188,
129,75,479,202,
130,110,474,182,
131,18,412,197,
132,162,484,161,
133,100,482,191,
134,103,443,170,
135,73,447,187,
136,15,413,199,
137,100,466,183,
138,114,458,172,
139,65,435,185,
140,51,385,167,
141,107,433,163,
142,58,428,185,
143,79,453,187,
144,44,438,197,
145,93,459,183,
146,124,444,160,
147,86,458,186,
148,136,462,163,
149,139,469,165,
150,73,469,198,
151,102,464,181,
152,21,411,195,
153,94,448,177,
154,153,441,144,
155,69,473,202,
156,93,451,179,
157,58,470,206,
158,93,447,177,
159,93,461,184,
160,18,398,190,
161,60,472,206,
162,19,419,200,
163,65,451,193,
164,76,486,205,
165,147,497,175,
166,103,451,174,
167,91,451,180,
168,56,452,198,
169,65,437,186,
170,49,463,207,
171,94,470,188,
172,142,452,155,
173,84,448,182,
174,107,467,180,
175,73,447,187,
176,83,445,181,
177,69,469,200,
178,117,439,161,
179,116,458,171,
180,92,436,172,
181,107,443,168,
182,70,412,171,
183,87,423,168,
184,90,464,187,
185,52,460,204,
186,101,419,159,
187,24,422,199,
188,142,460,159,
189,67,435,184,
190,64,438,187,
191,143,483,170,
192,51,425,187,
193,95,483,194,
194,69,419,175,
195,86,432,173,
196,88,452,182,
197,93,477,192,
198,43,405,181,
199,34,426,196,
200,99,439,170,
201,157,505,174,
202,82,426,172,
203,194,498,152,
204,76,452,188,
205,63,463,200,
