Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,177.86
Elapsed Live Time:,176.59
Start Time:,September 12, 2019, 04:09:22
End Time:,September 12, 2019, 04:12:20
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,775,886,16747,8684,56,830

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,1
85,,15
86,,115
87,,199
88,,207
89,,225
90,,184
91,,209
92,,209
93,,262
94,,269
95,,290
96,,270
97,,290
98,,332
99,,337
100,,321
101,,359
102,,372
103,,393
104,,349
105,,355
106,,371
107,,339
108,,316
109,,354
110,,295
111,,332
112,,296
113,,345
114,,309
115,,310
116,,269
117,,298
118,,273
119,,233
120,,246
121,,260
122,,229
123,,245
124,,223
125,,229
126,,184
127,,206
128,,188
129,,202
130,,182
131,,197
132,,161
133,,191
134,,170
135,,187
136,,199
137,,183
138,,172
139,,185
140,,167
141,,163
142,,185
143,,187
144,,197
145,,183
146,,160
147,,186
148,,163
149,,165
150,,198
151,,181
152,,195
153,,177
154,,144
155,,202
156,,179
157,,206
158,,177
159,,184
160,,190
161,,206
162,,200
163,,193
164,,205
165,,175
166,,174
167,,180
168,,198
169,,186
170,,207
171,,188
172,,155
173,,182
174,,180
175,,187
176,,181
177,,200
178,,161
179,,171
180,,172
181,,168
182,,171
183,,168
184,,187
185,,204
186,,159
187,,199
188,,159
189,,184
190,,187
191,,170
192,,187
193,,194
194,,175
195,,173
196,,182
197,,192
198,,181
199,,196
200,,170
201,,174
202,,172
203,,152
204,,188
205,,200
206,,180
207,,208
208,,189
209,,196
210,,192
211,,194
212,,198
213,,181
214,,200
215,,197
216,,182
217,,178
218,,201
219,,237
220,,216
221,,241
222,,220
223,,188
224,,210
225,,224
226,,201
227,,237
228,,217
229,,222
230,,223
231,,236
232,,271
233,,255
234,,253
235,,270
236,,263
237,,269
238,,247
239,,271
240,,273
241,,283
242,,252
243,,276
244,,246
245,,286
246,,314
247,,290
248,,288
249,,274
250,,281
251,,256
252,,257
253,,282
254,,277
255,,257
256,,264
257,,260
258,,249
259,,256
260,,252
261,,248
262,,243
263,,226
264,,234
265,,206
266,,242
267,,194
268,,206
269,,222
270,,190
271,,217
272,,195
273,,187
274,,163
275,,214
276,,180
277,,190
278,,180
279,,162
280,,178
281,,194
282,,163
283,,190
284,,167
285,,163
286,,172
287,,146
288,,157
289,,177
290,,159
291,,170
292,,158
293,,167
294,,178
295,,158
296,,158
297,,164
298,,140
299,,143
300,,148
301,,150
302,,152
303,,148
304,,184
305,,164
306,,144
307,,162
308,,162
309,,128
310,,140
311,,179
312,,154
313,,177
314,,151
315,,166
316,,136
317,,172
318,,161
319,,159
320,,151
321,,149
322,,147
323,,158
324,,170
325,,178
326,,144
327,,135
328,,147
329,,136
330,,156
331,,138
332,,148
333,,165
334,,129
335,,147
336,,142
337,,151
338,,146
339,,173
340,,150
341,,143
342,,147
343,,161
344,,140
345,,155
346,,119
347,,135
348,,147
349,,158
350,,137
351,,143
352,,132
353,,136
354,,150
355,,147
356,,113
357,,130
358,,119
359,,143
360,,129
361,,156
362,,128
363,,119
364,,143
365,,131
366,,122
367,,134
368,,120
369,,115
370,,109
371,,117
372,,113
