Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,550.61
Elapsed Live Time:,550.33
Start Time:,September 12, 2019, 03:40:40
End Time:,September 12, 2019, 03:49:50
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,199,264,19602,1616,12,232

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,1
78,,1
79,,0
80,,0
81,,0
82,,1
83,,0
84,,1
85,,11
86,,94
87,,259
88,,273
89,,254
90,,240
91,,254
92,,235
93,,265
94,,269
95,,278
96,,285
97,,281
98,,344
99,,336
100,,336
101,,349
102,,359
103,,303
104,,379
105,,356
106,,322
107,,332
108,,353
109,,341
110,,347
111,,342
112,,329
113,,340
114,,337
115,,344
116,,315
117,,353
118,,313
119,,324
120,,322
121,,320
122,,281
123,,281
124,,304
125,,313
126,,278
127,,285
128,,282
129,,292
130,,260
131,,252
132,,283
133,,260
134,,257
135,,270
136,,239
137,,280
138,,250
139,,269
140,,309
141,,279
142,,311
143,,271
144,,314
145,,267
146,,290
147,,252
148,,293
149,,289
150,,259
151,,297
152,,275
153,,262
154,,291
155,,306
156,,291
157,,301
158,,252
159,,276
160,,271
161,,295
162,,255
163,,302
164,,279
165,,291
166,,266
167,,272
168,,283
169,,303
170,,248
171,,298
172,,283
173,,255
174,,300
175,,326
176,,280
177,,290
178,,265
179,,285
180,,299
181,,297
182,,270
183,,294
184,,269
185,,277
186,,302
187,,304
188,,294
189,,312
190,,286
191,,325
192,,291
193,,273
194,,261
195,,272
196,,282
197,,313
198,,296
199,,254
200,,266
201,,282
202,,271
203,,277
204,,274
205,,292
206,,246
207,,252
208,,286
209,,297
210,,274
211,,297
212,,294
213,,291
214,,278
215,,288
216,,277
217,,301
218,,312
219,,309
220,,265
221,,293
222,,252
223,,277
224,,304
225,,291
226,,257
227,,309
228,,290
229,,302
230,,317
231,,317
232,,322
233,,289
234,,315
235,,310
236,,290
237,,346
238,,320
239,,328
240,,334
241,,316
242,,310
243,,359
244,,318
245,,341
246,,327
247,,306
248,,284
249,,348
250,,315
251,,324
252,,311
253,,317
254,,292
255,,287
256,,287
257,,303
258,,308
259,,279
260,,310
261,,287
262,,312
263,,258
264,,257
265,,308
266,,280
267,,283
268,,314
269,,308
270,,296
271,,267
272,,295
273,,292
274,,309
275,,331
276,,310
277,,313
278,,363
279,,333
280,,350
281,,370
282,,408
283,,355
284,,376
285,,385
286,,402
287,,402
288,,451
289,,437
290,,430
291,,455
292,,446
293,,468
294,,442
295,,455
296,,455
297,,453
298,,465
299,,458
300,,397
301,,439
302,,399
303,,431
304,,403
305,,379
306,,364
307,,343
308,,364
309,,369
310,,330
311,,325
312,,312
313,,312
314,,282
315,,288
316,,268
317,,252
318,,242
319,,216
320,,226
321,,207
322,,197
323,,190
324,,179
325,,185
326,,171
327,,162
328,,140
329,,145
330,,119
331,,112
332,,121
333,,126
334,,98
335,,92
336,,91
337,,92
338,,79
339,,95
340,,80
341,,93
342,,96
343,,78
344,,67
345,,49
346,,89
347,,71
348,,72
349,,66
350,,63
351,,55
352,,64
353,,62
354,,67
355,,74
356,,77
357,,55
358,,48
359,,53
360,,58
361,,49
362,,66
363,,46
364,,60
365,,58
366,,50
367,,46
368,,36
369,,56
370,,38
371,,40
372,,45
