Channel,net counts,counts(w),counts(wo),N=1
0,0,0,0,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,0,0,0,
8,0,0,0,
9,0,0,0,
10,0,0,0,
11,0,0,0,
12,0,0,0,
13,0,0,0,
14,0,0,0,
15,0,0,0,
16,0,0,0,
17,0,0,0,
18,0,0,0,
19,0,0,0,
20,0,0,0,
21,0,0,0,
22,0,0,0,
23,0,0,0,
24,0,0,0,
25,0,0,0,
26,0,0,0,
27,0,0,0,
28,0,0,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,
32,0,0,0,
33,0,0,0,
34,0,0,0,
35,0,0,0,
36,0,0,0,
37,0,0,0,
38,0,0,0,
39,0,0,0,
40,0,0,0,
41,0,0,0,
42,0,0,0,
43,0,0,0,
44,0,0,0,
45,0,0,0,
46,0,0,0,
47,0,0,0,
48,0,0,0,
49,0,0,0,
50,0,0,0,
51,0,0,0,
52,0,0,0,
53,0,0,0,
54,0,0,0,
55,0,0,0,
56,0,0,0,
57,0,0,0,
58,0,0,0,
59,0,0,0,
60,0,0,0,
61,0,0,0,
62,0,0,0,
63,0,0,0,
64,0,0,0,
65,0,0,0,
66,0,0,0,
67,0,0,0,
68,0,0,0,
69,0,0,0,
70,0,0,0,
71,0,0,0,
72,0,0,0,
73,0,0,0,
74,0,0,0,
75,0,0,0,
76,0,0,0,
77,0,0,0,
78,0,0,0,
79,0,0,0,
80,0,0,0,
81,0,0,0,
82,0,0,0,
83,0,0,0,
84,0,2,2,
85,9,13,4,
86,22,134,112,
87,28,287,259,
88,56,349,293,
89,38,271,233,
90,71,290,219,
91,84,325,241,
92,38,298,260,
93,74,340,266,
94,75,357,282,
95,74,402,328,
96,91,418,327,
97,109,456,347,
98,117,465,348,
99,43,426,383,
100,82,474,392,
101,111,505,394,
102,125,498,373,
103,108,464,356,
104,116,509,393,
105,113,520,407,
106,105,489,384,
107,62,480,418,
108,119,514,395,
109,63,471,408,
110,96,480,384,
111,64,441,377,
112,91,441,350,
113,62,455,393,
114,116,452,336,
115,46,409,363,
116,36,396,360,
117,57,405,348,
118,25,368,343,
119,32,372,340,
120,117,394,277,
121,80,392,312,
122,56,368,312,
123,41,367,326,
124,44,371,327,
125,103,386,283,
126,58,347,289,
127,51,329,278,
128,64,315,251,
129,73,354,281,
130,18,306,288,
131,71,312,241,
132,65,329,264,
133,54,337,283,
134,48,313,265,
135,76,341,265,
136,60,304,244,
137,61,328,267,
138,80,317,237,
139,57,313,256,
140,40,294,254,
141,27,306,279,
142,28,277,249,
143,24,283,259,
144,79,322,243,
145,1,289,288,
146,79,301,222,
147,82,313,231,
148,72,319,247,
149,63,314,251,
150,47,289,242,
151,83,309,226,
152,36,274,238,
153,38,325,287,
154,33,301,268,
155,13,297,284,
156,49,289,240,
157,47,326,279,
158,55,287,232,
159,64,301,237,
160,42,322,280,
161,104,327,223,
162,35,283,248,
163,108,322,214,
164,64,316,252,
165,59,333,274,
166,90,314,224,
167,74,318,244,
168,67,320,253,
169,88,314,226,
170,46,294,248,
171,74,321,247,
172,84,311,227,
173,101,326,225,
174,104,317,213,
175,98,324,226,
176,62,307,245,
177,85,318,233,
178,101,316,215,
179,87,319,232,
180,140,347,207,
181,117,321,204,
182,59,281,222,
183,66,306,240,
184,96,299,203,
185,118,332,214,
186,91,282,191,
187,120,318,198,
188,74,294,220,
189,97,302,205,
190,105,316,211,
191,118,315,197,
192,88,284,196,
193,77,286,209,
194,78,285,207,
195,89,275,186,
196,67,276,209,
197,82,301,219,
198,125,302,177,
199,94,291,197,
200,73,277,204,
201,87,276,189,
202,87,268,181,
203,91,281,190,
204,56,247,191,
205,83,271,188,
206,52,229,177,
