Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,109.05
Elapsed Live Time:,97.91
Start Time:,September 12, 2019, 02:10:34
End Time:,September 12, 2019, 02:13:12
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,199,264,48799,-4794,2,233

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,1
68,,0
69,,1
70,,1
71,,4
72,,1
73,,2
74,,4
75,,3
76,,2
77,,5
78,,11
79,,9
80,,6
81,,11
82,,8
83,,6
84,,22
85,,16
86,,95
87,,509
88,,740
89,,732
90,,734
91,,716
92,,764
93,,742
94,,755
95,,767
96,,799
97,,789
98,,778
99,,787
100,,802
101,,827
102,,851
103,,759
104,,802
105,,794
106,,822
107,,835
108,,821
109,,844
110,,819
111,,808
112,,801
113,,834
114,,809
115,,866
116,,815
117,,806
118,,758
119,,772
120,,733
121,,796
122,,748
123,,751
124,,730
125,,688
126,,722
127,,660
128,,686
129,,665
130,,633
131,,672
132,,696
133,,667
134,,656
135,,660
136,,679
137,,651
138,,616
139,,679
140,,663
141,,663
142,,698
143,,639
144,,649
145,,655
146,,660
147,,624
148,,635
149,,705
150,,643
151,,632
152,,676
153,,688
154,,647
155,,715
156,,635
157,,659
158,,631
159,,649
160,,605
161,,683
162,,634
163,,667
164,,647
165,,725
166,,637
167,,641
168,,606
169,,664
170,,606
171,,607
172,,657
173,,657
174,,676
175,,659
176,,689
177,,686
178,,654
179,,675
180,,669
181,,675
182,,663
183,,658
184,,667
185,,689
186,,648
187,,725
188,,667
189,,592
190,,631
191,,688
192,,641
193,,689
194,,622
195,,657
196,,647
197,,711
198,,684
199,,650
200,,685
201,,709
202,,589
203,,636
204,,688
205,,663
206,,638
207,,666
208,,651
209,,686
210,,634
211,,703
212,,664
213,,663
214,,639
215,,713
216,,656
217,,704
218,,663
219,,705
220,,646
221,,691
222,,628
223,,706
224,,679
225,,693
226,,681
227,,691
228,,644
229,,689
230,,717
231,,666
232,,675
233,,709
234,,685
235,,710
236,,713
237,,772
238,,702
239,,713
240,,697
241,,762
242,,721
243,,746
244,,770
245,,786
246,,753
247,,761
248,,797
249,,827
250,,831
251,,872
252,,803
253,,845
254,,844
255,,864
256,,919
257,,952
258,,910
259,,847
260,,909
261,,954
262,,900
263,,968
264,,946
265,,943
266,,893
267,,968
268,,962
269,,1010
270,,991
271,,973
272,,919
273,,910
274,,895
275,,929
276,,941
277,,946
278,,877
279,,923
280,,950
281,,1020
282,,891
283,,968
284,,940
285,,937
286,,920
287,,904
288,,910
289,,911
290,,866
291,,921
292,,891
293,,937
294,,849
295,,887
296,,912
297,,833
298,,834
299,,911
300,,908
301,,910
302,,882
303,,840
304,,869
305,,858
306,,872
307,,865
308,,900
309,,884
310,,864
311,,844
312,,838
313,,909
314,,829
315,,853
316,,806
317,,873
318,,808
319,,836
320,,846
321,,862
322,,756
323,,791
324,,812
325,,818
326,,779
327,,829
328,,836
329,,829
330,,795
331,,755
332,,792
333,,829
334,,743
335,,821
336,,765
337,,806
338,,776
339,,753
340,,816
341,,725
342,,754
343,,713
344,,751
345,,789
346,,758
347,,751
348,,731
349,,750
350,,749
351,,803
352,,729
353,,743
354,,690
355,,725
356,,700
357,,758
358,,756
359,,733
360,,700
361,,666
362,,662
363,,746
364,,662
365,,750
366,,719
367,,732
368,,665
369,,698
370,,681
371,,751
372,,685
