Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,245.28
Elapsed Live Time:,244.62
Start Time:,September 12, 2019, 04:29:15
End Time:,September 12, 2019, 04:33:20
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,775,886,516,181,3,823

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,4
86,,51
87,,115
88,,121
89,,123
90,,88
91,,104
92,,110
93,,128
94,,107
95,,129
96,,162
97,,173
98,,155
99,,167
100,,203
101,,160
102,,179
103,,165
104,,165
105,,189
106,,181
107,,169
108,,172
109,,184
110,,162
111,,164
112,,164
113,,172
114,,157
115,,137
116,,140
117,,151
118,,144
119,,125
120,,115
121,,122
122,,133
123,,126
124,,108
125,,121
126,,104
127,,105
128,,102
129,,115
130,,103
131,,100
132,,108
133,,111
134,,131
135,,114
136,,101
137,,76
138,,119
139,,111
140,,105
141,,114
142,,104
143,,112
144,,92
145,,109
146,,110
147,,100
148,,87
149,,102
150,,103
151,,104
152,,108
153,,112
154,,104
155,,99
156,,118
157,,105
158,,83
159,,102
160,,104
161,,102
162,,90
163,,84
164,,92
165,,86
166,,85
167,,73
168,,95
169,,104
170,,106
171,,88
172,,92
173,,79
174,,97
175,,77
176,,104
177,,93
178,,75
179,,95
180,,92
181,,84
182,,79
183,,85
184,,73
185,,84
186,,98
187,,87
188,,91
189,,84
190,,92
191,,79
192,,104
193,,77
194,,91
195,,93
196,,91
197,,68
198,,65
199,,80
200,,72
201,,79
202,,74
203,,69
204,,85
205,,86
206,,68
207,,86
208,,58
209,,75
210,,65
211,,82
212,,68
213,,63
214,,59
215,,58
216,,73
217,,78
218,,57
219,,70
220,,79
221,,72
222,,66
223,,72
224,,63
225,,77
226,,62
227,,70
228,,74
229,,80
230,,69
231,,74
232,,82
233,,67
234,,71
235,,65
236,,81
237,,81
238,,70
239,,68
240,,77
241,,71
242,,74
243,,50
244,,45
245,,84
246,,77
247,,56
248,,63
249,,62
250,,65
251,,67
252,,56
253,,63
254,,63
255,,61
256,,65
257,,50
258,,76
259,,66
260,,74
261,,65
262,,64
263,,70
264,,73
265,,44
266,,52
267,,73
268,,59
269,,62
270,,50
271,,41
272,,54
273,,47
274,,63
275,,50
276,,49
277,,64
278,,54
279,,53
280,,48
281,,51
282,,44
283,,58
284,,46
285,,54
286,,44
287,,50
288,,46
289,,42
290,,52
291,,52
292,,47
293,,43
294,,45
295,,47
296,,34
297,,47
298,,41
299,,45
300,,42
301,,51
302,,28
303,,37
304,,47
305,,37
306,,52
307,,52
308,,41
309,,41
310,,51
311,,38
312,,29
313,,44
314,,46
315,,43
316,,31
317,,39
318,,52
319,,36
320,,47
321,,42
322,,39
323,,35
324,,49
325,,50
326,,40
327,,40
328,,35
329,,31
330,,37
331,,29
332,,40
333,,39
334,,36
335,,39
336,,37
337,,30
338,,35
339,,32
340,,40
341,,33
342,,39
343,,32
344,,30
345,,46
346,,36
347,,42
348,,40
349,,35
350,,29
351,,26
352,,34
353,,37
354,,39
355,,38
356,,34
357,,38
358,,37
359,,34
360,,31
361,,29
362,,36
363,,32
364,,32
365,,24
366,,31
367,,32
368,,32
369,,23
370,,26
371,,43
372,,35
373,,18
