Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,94.4
Elapsed Live Time:,44.25
Start Time:,September 12, 2019, 02:29:39
End Time:,September 12, 2019, 02:31:14
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,199,264,187644,8519,10,232

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,1
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,1
13,,0
14,,0
15,,0
16,,1
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,1
30,,0
31,,0
32,,0
33,,0
34,,0
35,,1
36,,0
37,,1
38,,0
39,,0
40,,1
41,,0
42,,0
43,,0
44,,0
45,,0
46,,1
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,1
55,,1
56,,0
57,,0
58,,3
59,,1
60,,0
61,,0
62,,1
63,,0
64,,1
65,,9
66,,6
67,,10
68,,12
69,,20
70,,39
71,,54
72,,79
73,,112
74,,95
75,,176
76,,188
77,,223
78,,291
79,,298
80,,242
81,,323
82,,332
83,,369
84,,445
85,,633
86,,1343
87,,2264
88,,2482
89,,2458
90,,2333
91,,2323
92,,2429
93,,2413
94,,2284
95,,2445
96,,2424
97,,2358
98,,2262
99,,2379
100,,2378
101,,2384
102,,2338
103,,2267
104,,2295
105,,2320
106,,2311
107,,2309
108,,2312
109,,2297
110,,2273
111,,2277
112,,2292
113,,2291
114,,2408
115,,2256
116,,2181
117,,2358
118,,2165
119,,2329
120,,2150
121,,2288
122,,2310
123,,2296
124,,2285
125,,2409
126,,2262
127,,2256
128,,2205
129,,2271
130,,2222
131,,2216
132,,2384
133,,2310
134,,2307
135,,2169
136,,2284
137,,2367
138,,2221
139,,2320
140,,2329
141,,2427
142,,2265
143,,2276
144,,2305
145,,2417
146,,2370
147,,2349
148,,2381
149,,2349
150,,2358
151,,2404
152,,2390
153,,2371
154,,2339
155,,2387
156,,2268
157,,2358
158,,2263
159,,2337
160,,2396
161,,2378
162,,2212
163,,2337
164,,2319
165,,2401
166,,2309
167,,2389
168,,2365
169,,2466
170,,2283
171,,2466
172,,2359
173,,2469
174,,2328
175,,2420
176,,2321
177,,2413
178,,2331
179,,2479
180,,2397
181,,2507
182,,2387
183,,2363
184,,2357
185,,2455
186,,2451
187,,2488
188,,2437
189,,2514
190,,2510
191,,2475
192,,2430
193,,2588
194,,2404
195,,2531
196,,2451
197,,2518
198,,2463
199,,2536
200,,2527
201,,2605
202,,2481
203,,2640
204,,2532
205,,2692
206,,2595
207,,2636
208,,2616
209,,2723
210,,2690
211,,2662
212,,2680
213,,2728
214,,2681
215,,2766
216,,2694
217,,2687
218,,2656
219,,2822
220,,2790
221,,2914
222,,2782
223,,2853
224,,2853
225,,2920
226,,2839
227,,2970
228,,2921
229,,2969
230,,2950
231,,2873
232,,2932
233,,3001
234,,2836
235,,3047
236,,2971
237,,3010
238,,2935
239,,2951
240,,2980
241,,2979
242,,2972
243,,3037
244,,2891
245,,3113
246,,2968
247,,2859
248,,3019
249,,3083
250,,2908
251,,3025
252,,2938
253,,3057
254,,2910
255,,2917
256,,2901
257,,2966
258,,2913
259,,2714
260,,3009
261,,2912
262,,2888
263,,2929
264,,2790
265,,3044
266,,2723
267,,2841
268,,2865
269,,2877
270,,2838
271,,2809
272,,2821
273,,2916
274,,2798
275,,2869
276,,2849
277,,2885
278,,2731
279,,2733
280,,2743
281,,2895
282,,2691
283,,2942
284,,2760
285,,2756
286,,2679
287,,2720
288,,2733
289,,2791
290,,2683
291,,2663
292,,2672
293,,2796
294,,2670
295,,2698
296,,2621
297,,2827
298,,2677
299,,2691
300,,2619
301,,2740
302,,2604
303,,2690
304,,2655
305,,2765
306,,2662
307,,2709
308,,2656
309,,2739
310,,2672
311,,2603
312,,2533
313,,2605
314,,2535
315,,2709
316,,2575
317,,2735
318,,2565
319,,2608
320,,2616
321,,2759
322,,2609
323,,2624
324,,2620
