Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,622.88
Elapsed Live Time:,622.18
Start Time:,September 12, 2019, 03:16:24
End Time:,September 12, 2019, 03:26:46
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,199,264,16319,-146,3,230

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,2
85,,13
86,,134
87,,287
88,,349
89,,271
90,,290
91,,325
92,,298
93,,340
94,,357
95,,402
96,,418
97,,456
98,,465
99,,426
100,,474
101,,505
102,,498
103,,464
104,,509
105,,520
106,,489
107,,480
108,,514
109,,471
110,,480
111,,441
112,,441
113,,455
114,,452
115,,409
116,,396
117,,405
118,,368
119,,372
120,,394
121,,392
122,,368
123,,367
124,,371
125,,386
126,,347
127,,329
128,,315
129,,354
130,,306
131,,312
132,,329
133,,337
134,,313
135,,341
136,,304
137,,328
138,,317
139,,313
140,,294
141,,306
142,,277
143,,283
144,,322
145,,289
146,,301
147,,313
148,,319
149,,314
150,,289
151,,309
152,,274
153,,325
154,,301
155,,297
156,,289
157,,326
158,,287
159,,301
160,,322
161,,327
162,,283
163,,322
164,,316
165,,333
166,,314
167,,318
168,,320
169,,314
170,,294
171,,321
172,,311
173,,326
174,,317
175,,324
176,,307
177,,318
178,,316
179,,319
180,,347
181,,321
182,,281
183,,306
184,,299
185,,332
186,,282
187,,318
188,,294
189,,302
190,,316
191,,315
192,,284
193,,286
194,,285
195,,275
196,,276
197,,301
198,,302
199,,291
200,,277
201,,276
202,,268
203,,281
204,,247
205,,271
206,,229
207,,264
208,,230
209,,272
210,,239
211,,243
212,,252
213,,236
214,,236
215,,250
216,,252
217,,283
218,,248
219,,257
220,,219
221,,260
222,,234
223,,224
224,,218
225,,256
226,,227
227,,261
228,,283
229,,259
230,,258
231,,266
232,,254
233,,252
234,,246
235,,262
236,,242
237,,258
238,,281
239,,243
240,,245
241,,238
242,,233
243,,234
244,,266
245,,286
246,,217
247,,264
248,,234
249,,254
250,,221
251,,253
252,,248
253,,228
254,,228
255,,233
256,,221
257,,263
258,,211
259,,188
260,,270
261,,239
262,,224
263,,191
264,,225
265,,216
266,,200
267,,199
268,,197
269,,212
270,,175
271,,193
272,,186
273,,181
274,,182
275,,167
276,,147
277,,196
278,,164
279,,179
280,,150
281,,186
282,,162
283,,178
284,,160
285,,163
286,,139
287,,146
288,,175
289,,147
290,,143
291,,134
292,,158
293,,149
294,,118
295,,135
296,,159
297,,160
298,,138
299,,160
300,,139
301,,162
302,,133
303,,134
304,,130
305,,126
306,,142
307,,135
308,,142
309,,141
310,,138
311,,151
312,,121
313,,136
314,,134
315,,152
316,,177
317,,151
318,,156
319,,120
320,,151
321,,156
322,,147
323,,157
324,,146
325,,134
326,,120
327,,154
328,,142
329,,159
330,,143
331,,128
332,,136
333,,154
334,,164
335,,164
336,,158
337,,160
338,,164
339,,185
340,,206
341,,185
342,,155
343,,188
344,,197
345,,200
346,,180
347,,220
348,,213
349,,244
350,,230
351,,220
352,,271
353,,236
354,,244
355,,299
356,,288
357,,284
358,,261
359,,268
360,,311
361,,315
362,,297
363,,330
364,,302
365,,331
366,,327
367,,328
368,,328
369,,339
370,,330
371,,348
372,,339
