Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,900
Conversion Gain:,2048
Coarse Gain:,3
Fine Gain:,0
Upper Discriminator:,2175
Lower Discriminator:,93
Calibration Coefficients:Elapsed Real Time:,129.51
Elapsed Live Time:,116.48
Start Time:,September 12, 2019, 04:41:40
End Time:,September 12, 2019, 04:43:49
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid

1,775,886,277829,157484,50,842

Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,1
65,,2
66,,0
67,,0
68,,1
69,,1
70,,4
71,,2
72,,3
73,,1
74,,3
75,,2
76,,10
77,,11
78,,6
79,,12
80,,9
81,,10
82,,15
83,,21
84,,31
85,,175
86,,761
87,,1024
88,,993
89,,1062
90,,1002
91,,1000
92,,1070
93,,1024
94,,1017
95,,1077
96,,1027
97,,1055
98,,992
99,,1059
100,,1113
101,,1042
102,,1019
103,,1061
104,,989
105,,1055
106,,1063
107,,1030
108,,989
109,,1008
110,,977
111,,983
112,,1038
113,,1009
114,,1008
115,,943
116,,933
117,,962
118,,933
119,,928
120,,965
121,,895
122,,862
123,,883
124,,870
125,,934
126,,894
127,,869
128,,844
129,,865
130,,815
131,,813
132,,861
133,,933
134,,880
135,,877
136,,776
137,,834
138,,835
139,,896
140,,843
141,,872
142,,801
143,,858
144,,889
145,,879
146,,826
147,,904
148,,892
149,,893
150,,781
151,,878
152,,864
153,,863
154,,818
155,,875
156,,841
157,,814
158,,812
159,,844
160,,896
161,,895
162,,819
163,,863
164,,813
165,,878
166,,823
167,,922
168,,813
169,,896
170,,871
171,,947
172,,840
173,,914
174,,805
175,,909
176,,873
177,,877
178,,897
179,,784
180,,854
181,,865
182,,831
183,,903
184,,871
185,,865
186,,877
187,,812
188,,895
189,,878
190,,866
191,,844
192,,836
193,,899
194,,828
195,,793
196,,913
197,,864
198,,867
199,,879
200,,864
201,,895
202,,857
203,,873
204,,842
205,,869
206,,872
207,,886
208,,858
209,,900
210,,877
211,,892
212,,882
213,,931
214,,881
215,,861
216,,932
217,,946
218,,894
219,,842
220,,862
221,,890
222,,932
223,,917
224,,944
225,,967
226,,886
227,,928
228,,976
229,,943
230,,953
231,,927
232,,920
233,,1058
234,,945
235,,1045
236,,956
237,,1009
238,,1056
239,,1090
240,,1046
241,,1158
242,,1078
243,,1084
244,,1091
245,,1138
246,,1153
247,,1139
248,,1146
249,,1189
250,,1180
251,,1225
252,,1149
253,,1296
254,,1177
255,,1213
256,,1191
257,,1277
258,,1257
259,,1126
260,,1293
261,,1205
262,,1175
263,,1222
264,,1189
265,,1178
266,,1175
267,,1216
268,,1201
269,,1234
270,,1115
271,,1174
272,,1210
273,,1193
274,,1142
275,,1228
276,,1193
277,,1231
278,,1171
279,,1233
280,,1197
281,,1183
282,,1160
283,,1261
284,,1172
285,,1218
286,,1179
287,,1102
288,,1121
289,,1181
290,,1117
291,,1173
292,,1105
293,,1109
294,,1132
295,,1184
296,,1075
297,,1137
298,,1123
299,,1077
300,,1081
301,,1124
302,,1018
303,,1162
304,,1090
305,,1076
306,,1067
307,,1018
308,,1050
309,,1026
310,,1063
311,,1054
312,,1090
313,,1079
314,,997
315,,1041
316,,991
317,,1068
318,,1023
319,,953
320,,1076
321,,1065
322,,934
323,,1023
324,,969
325,,1069
326,,1017
327,,966
328,,956
329,,1002
330,,936
331,,984
332,,1008
333,,1012
334,,1002
335,,888
336,,929
337,,965
338,,948
339,,994
340,,940
341,,990
342,,949
343,,960
344,,917
345,,882
346,,955
347,,1000
348,,910
349,,930
350,,895
