Bandgap 4:35 PM 10/17/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
7.218E-3	1.897E-5	-1.087E+1	2.429E-8	5.000E+1
1.698E-2	4.776E-5	-9.949E+0	2.317E-8	5.000E+1
2.281E-2	6.720E-5	-9.608E+0	2.194E-8	5.000E+1
2.682E-2	8.191E-5	-9.410E+0	1.569E-8	5.000E+1
3.071E-2	9.667E-5	-9.244E+0	2.064E-8	5.000E+1
3.422E-2	1.114E-4	-9.102E+0	1.962E-8	5.000E+1
3.759E-2	1.258E-4	-8.981E+0	1.806E-8	5.000E+1
4.091E-2	1.406E-4	-8.870E+0	1.696E-8	5.000E+1
4.394E-2	1.554E-4	-8.770E+0	1.705E-8	5.000E+1
4.786E-2	1.750E-4	-8.651E+0	1.760E-8	5.000E+1
5.154E-2	1.946E-4	-8.544E+0	1.484E-8	5.000E+1
5.499E-2	2.143E-4	-8.448E+0	1.361E-8	5.000E+1
5.833E-2	2.340E-4	-8.360E+0	1.440E-8	5.000E+1
6.140E-2	2.532E-4	-8.281E+0	1.122E-8	5.000E+1
6.438E-2	2.729E-4	-8.206E+0	1.502E-8	5.000E+1
6.721E-2	2.926E-4	-8.137E+0	1.150E-8	5.000E+1
6.998E-2	3.124E-4	-8.071E+0	9.667E-9	5.000E+1
7.268E-2	3.321E-4	-8.010E+0	9.667E-9	5.000E+1
7.592E-2	3.572E-4	-7.937E+0	1.449E-8	5.000E+1
7.900E-2	3.818E-4	-7.871E+0	1.655E-8	5.000E+1
8.136E-2	4.016E-4	-7.820E+0	1.287E-8	5.000E+1
8.356E-2	4.213E-4	-7.772E+0	1.320E-8	5.000E+1
8.632E-2	4.459E-4	-7.715E+0	1.465E-8	5.000E+1
8.889E-2	4.706E-4	-7.662E+0	1.604E-8	5.000E+1
9.135E-2	4.952E-4	-7.611E+0	1.612E-8	5.000E+1
9.375E-2	5.198E-4	-7.562E+0	1.243E-8	5.000E+1
9.618E-2	5.450E-4	-7.515E+0	1.648E-8	5.000E+1
9.847E-2	5.696E-4	-7.470E+0	1.526E-8	5.000E+1
1.003E-1	5.895E-4	-7.436E+0	1.468E-8	5.000E+1
1.024E-1	6.142E-4	-7.395E+0	1.726E-8	5.000E+1
1.045E-1	6.388E-4	-7.356E+0	1.712E-8	5.000E+1
1.066E-1	6.635E-4	-7.318E+0	1.539E-8	5.000E+1
1.086E-1	6.887E-4	-7.281E+0	1.574E-8	5.000E+1
1.109E-1	7.182E-4	-7.239E+0	8.442E-9	5.000E+1
1.132E-1	7.478E-4	-7.198E+0	1.655E-8	5.000E+1
1.161E-1	7.875E-4	-7.147E+0	1.361E-8	5.000E+1
1.190E-1	8.273E-4	-7.097E+0	1.541E-8	5.000E+1
1.211E-1	8.573E-4	-7.062E+0	1.150E-8	5.000E+1
1.230E-1	8.869E-4	-7.028E+0	1.465E-8	5.000E+1
1.257E-1	9.266E-4	-6.984E+0	1.468E-8	5.000E+1
1.279E-1	9.616E-4	-6.947E+0	1.320E-8	5.000E+1
1.294E-1	9.858E-4	-6.922E+0	9.829E-9	5.000E+1
1.294E-1	9.858E-4	-6.922E+0	6.229E-9	5.000E+1
1.294E-1	9.858E-4	-6.922E+0	1.326E-8	5.000E+1
1.295E-1	9.858E-4	-6.922E+0	1.446E-8	5.000E+1
