Bandgap 3:47 PM 10/17/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
9.479E-2	2.740E-8	-1.741E+1	1.741E-7	5.000E+1
1.971E-1	2.242E-8	-1.761E+1	1.738E-7	5.000E+1
2.944E-1	1.059E-8	-1.836E+1	1.254E-7	5.000E+1
3.971E-1	1.432E-8	-1.806E+1	1.730E-7	5.000E+1
4.884E-1	5.854E-7	-1.435E+1	1.343E-7	5.000E+1
5.450E-1	5.220E-6	-1.216E+1	8.918E-8	5.000E+1
5.682E-1	1.268E-5	-1.128E+1	6.507E-8	5.000E+1
5.823E-1	2.150E-5	-1.075E+1	3.733E-8	5.000E+1
5.916E-1	3.034E-5	-1.040E+1	2.985E-8	5.000E+1
5.991E-1	3.984E-5	-1.013E+1	2.406E-8	5.000E+1
6.049E-1	4.902E-5	-9.923E+0	2.141E-8	5.000E+1
6.100E-1	5.875E-5	-9.742E+0	2.452E-8	5.000E+1
6.142E-1	6.812E-5	-9.594E+0	2.125E-8	5.000E+1
6.214E-1	8.738E-5	-9.345E+0	1.594E-8	5.000E+1
6.274E-1	1.068E-4	-9.144E+0	1.688E-8	5.000E+1
6.325E-1	1.263E-4	-8.977E+0	1.283E-8	5.000E+1
6.326E-1	1.263E-4	-8.977E+0	1.449E-8	5.000E+1
6.391E-1	1.559E-4	-8.766E+0	1.497E-8	5.000E+1
6.444E-1	1.852E-4	-8.594E+0	1.079E-8	5.000E+1
6.492E-1	2.144E-4	-8.448E+0	1.526E-8	5.000E+1
6.522E-1	2.342E-4	-8.360E+0	1.440E-8	5.000E+1
6.586E-1	2.838E-4	-8.167E+0	1.326E-8	5.000E+1
6.641E-1	3.330E-4	-8.007E+0	1.246E-8	5.000E+1
6.690E-1	3.828E-4	-7.868E+0	1.326E-8	5.000E+1
6.735E-1	4.321E-4	-7.747E+0	1.577E-8	5.000E+1
6.735E-1	4.321E-4	-7.747E+0	1.460E-8	5.000E+1
6.775E-1	4.815E-4	-7.639E+0	1.240E-8	5.000E+1
6.811E-1	5.314E-4	-7.540E+0	1.539E-8	5.000E+1
6.845E-1	5.808E-4	-7.451E+0	1.164E-8	5.000E+1
6.878E-1	6.308E-4	-7.368E+0	1.541E-8	5.000E+1
6.907E-1	6.803E-4	-7.293E+0	1.526E-8	5.000E+1
6.934E-1	7.298E-4	-7.223E+0	1.287E-8	5.000E+1
6.962E-1	7.798E-4	-7.156E+0	1.660E-8	5.000E+1
6.987E-1	8.293E-4	-7.095E+0	4.360E-9	5.000E+1
7.010E-1	8.794E-4	-7.036E+0	7.392E-9	5.000E+1
7.034E-1	9.284E-4	-6.982E+0	1.612E-8	5.000E+1
7.034E-1	9.284E-4	-6.982E+0	1.429E-8	5.000E+1
7.034E-1	9.284E-4	-6.982E+0	1.515E-8	5.000E+1
7.034E-1	9.284E-4	-6.982E+0	1.594E-8	5.000E+1
7.034E-1	9.284E-4	-6.982E+0	1.468E-8	5.000E+1
