Bandgap 2:16 PM 10/24/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
-2.921E-3	3.114E-8	-1.728E+1	1.354E-7	5.000E+1
1.946E-1	1.594E-7	-1.565E+1	1.504E-7	5.000E+1
2.917E-1	1.052E-5	-1.146E+1	5.949E-8	5.000E+1
3.227E-1	3.233E-5	-1.034E+1	2.935E-8	5.000E+1
3.450E-1	6.525E-5	-9.637E+0	2.010E-8	5.000E+1
3.539E-1	8.435E-5	-9.381E+0	2.214E-8	5.000E+1
3.643E-1	1.131E-4	-9.087E+0	1.465E-8	5.000E+1
3.716E-1	1.372E-4	-8.894E+0	1.672E-8	5.000E+1
3.780E-1	1.620E-4	-8.728E+0	1.626E-8	5.000E+1
3.884E-1	2.107E-4	-8.465E+0	1.515E-8	5.000E+1
3.930E-1	2.351E-4	-8.355E+0	1.742E-8	5.000E+1
3.987E-1	2.697E-4	-8.218E+0	1.468E-8	5.000E+1
4.047E-1	3.092E-4	-8.082E+0	1.370E-8	5.000E+1
4.081E-1	3.337E-4	-8.005E+0	1.468E-8	5.000E+1
4.113E-1	3.583E-4	-7.934E+0	1.122E-8	5.000E+1
4.159E-1	3.978E-4	-7.829E+0	1.446E-8	5.000E+1
4.202E-1	4.374E-4	-7.735E+0	1.534E-8	5.000E+1
4.243E-1	4.770E-4	-7.648E+0	1.486E-8	5.000E+1
4.280E-1	5.167E-4	-7.568E+0	1.515E-8	5.000E+1
4.315E-1	5.564E-4	-7.494E+0	1.429E-8	5.000E+1
4.356E-1	6.057E-4	-7.409E+0	1.240E-8	5.000E+1
4.395E-1	6.556E-4	-7.330E+0	1.243E-8	5.000E+1
4.424E-1	6.953E-4	-7.271E+0	1.240E-8	5.000E+1
4.451E-1	7.346E-4	-7.216E+0	1.326E-8	5.000E+1
4.478E-1	7.744E-4	-7.163E+0	1.240E-8	5.000E+1
4.511E-1	8.243E-4	-7.101E+0	1.484E-8	5.000E+1
4.540E-1	8.738E-4	-7.043E+0	1.079E-8	5.000E+1
4.564E-1	9.136E-4	-6.998E+0	1.287E-8	5.000E+1
4.586E-1	9.529E-4	-6.956E+0	1.446E-8	5.000E+1
4.587E-1	9.529E-4	-6.956E+0	1.390E-8	5.000E+1
4.587E-1	9.528E-4	-6.956E+0	1.122E-8	5.000E+1
4.589E-1	9.528E-4	-6.956E+0	1.446E-8	5.000E+1
4.589E-1	9.528E-4	-6.956E+0	1.612E-8	5.000E+1
