Bandgap 2:44 PM 10/24/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
1.083E-1	8.873E-6	-1.163E+1	6.645E-8	5.000E+1
1.437E-1	2.533E-5	-1.058E+1	4.217E-8	5.000E+1
1.638E-1	4.332E-5	-1.005E+1	2.257E-8	5.000E+1
1.781E-1	6.191E-5	-9.690E+0	2.138E-8	5.000E+1
1.893E-1	8.081E-5	-9.423E+0	2.327E-8	5.000E+1
2.004E-1	1.046E-4	-9.165E+0	1.775E-8	5.000E+1
2.096E-1	1.286E-4	-8.959E+0	1.775E-8	5.000E+1
2.174E-1	1.527E-4	-8.787E+0	1.648E-8	5.000E+1
2.244E-1	1.774E-4	-8.637E+0	1.660E-8	5.000E+1
2.304E-1	2.016E-4	-8.509E+0	1.534E-8	5.000E+1
2.359E-1	2.260E-4	-8.395E+0	1.446E-8	5.000E+1
2.409E-1	2.504E-4	-8.293E+0	1.648E-8	5.000E+1
2.455E-1	2.748E-4	-8.199E+0	1.594E-8	5.000E+1
2.497E-1	2.998E-4	-8.113E+0	1.429E-8	5.000E+1
2.537E-1	3.243E-4	-8.034E+0	1.534E-8	5.000E+1
2.574E-1	3.488E-4	-7.961E+0	1.478E-8	5.000E+1
2.609E-1	3.733E-4	-7.893E+0	1.287E-8	5.000E+1
2.655E-1	4.080E-4	-7.804E+0	1.390E-8	5.000E+1
2.696E-1	4.427E-4	-7.723E+0	1.539E-8	5.000E+1
2.731E-1	4.721E-4	-7.658E+0	1.361E-8	5.000E+1
2.774E-1	5.117E-4	-7.578E+0	1.308E-8	5.000E+1
2.813E-1	5.514E-4	-7.503E+0	1.287E-8	5.000E+1
2.851E-1	5.910E-4	-7.434E+0	1.465E-8	5.000E+1
2.885E-1	6.307E-4	-7.369E+0	1.287E-8	5.000E+1
2.919E-1	6.704E-4	-7.308E+0	1.393E-8	5.000E+1
2.958E-1	7.198E-4	-7.237E+0	1.283E-8	5.000E+1
2.995E-1	7.692E-4	-7.170E+0	1.484E-8	5.000E+1
3.030E-1	8.191E-4	-7.107E+0	1.347E-8	5.000E+1
3.064E-1	8.685E-4	-7.049E+0	1.465E-8	5.000E+1
3.095E-1	9.185E-4	-6.993E+0	1.308E-8	5.000E+1
3.125E-1	9.675E-4	-6.941E+0	1.484E-8	5.000E+1
3.125E-1	9.675E-4	-6.941E+0	1.390E-8	5.000E+1
3.125E-1	9.675E-4	-6.941E+0	1.308E-8	5.000E+1
3.125E-1	9.675E-4	-6.941E+0	1.521E-8	5.000E+1
3.125E-1	9.675E-4	-6.941E+0	1.246E-8	5.000E+1
3.125E-1	9.675E-4	-6.941E+0	1.079E-8	5.000E+1
