Bandgap 3:14 PM 10/17/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
2.639E-2	1.928E-6	-1.316E+1	9.482E-8	5.000E+1
4.649E-2	4.794E-6	-1.225E+1	7.507E-8	5.000E+1
6.278E-2	8.532E-6	-1.167E+1	6.229E-8	5.000E+1
7.421E-2	1.227E-5	-1.131E+1	5.809E-8	5.000E+1
8.371E-2	1.621E-5	-1.103E+1	4.168E-8	5.000E+1
9.155E-2	2.029E-5	-1.081E+1	3.383E-8	5.000E+1
9.921E-2	2.493E-5	-1.060E+1	3.317E-8	5.000E+1
1.051E-1	2.920E-5	-1.044E+1	3.607E-8	5.000E+1
1.105E-1	3.355E-5	-1.030E+1	2.784E-8	5.000E+1
1.153E-1	3.793E-5	-1.018E+1	2.760E-8	5.000E+1
1.203E-1	4.281E-5	-1.006E+1	2.704E-8	5.000E+1
1.242E-1	4.729E-5	-9.959E+0	2.573E-8	5.000E+1
1.281E-1	5.180E-5	-9.868E+0	2.533E-8	5.000E+1
1.316E-1	5.633E-5	-9.784E+0	2.395E-8	5.000E+1
1.352E-1	6.133E-5	-9.699E+0	2.130E-8	5.000E+1
1.383E-1	6.590E-5	-9.627E+0	1.737E-8	5.000E+1
1.412E-1	7.050E-5	-9.560E+0	2.112E-8	5.000E+1
1.439E-1	7.510E-5	-9.497E+0	1.948E-8	5.000E+1
1.468E-1	8.018E-5	-9.431E+0	1.762E-8	5.000E+1
1.493E-1	8.481E-5	-9.375E+0	1.744E-8	5.000E+1
1.517E-1	8.944E-5	-9.322E+0	1.594E-8	5.000E+1
1.540E-1	9.411E-5	-9.271E+0	1.822E-8	5.000E+1
1.564E-1	9.923E-5	-9.218E+0	1.753E-8	5.000E+1
1.585E-1	1.039E-4	-9.172E+0	1.850E-8	5.000E+1
1.605E-1	1.086E-4	-9.128E+0	1.660E-8	5.000E+1
1.624E-1	1.133E-4	-9.086E+0	1.815E-8	5.000E+1
1.644E-1	1.180E-4	-9.045E+0	1.773E-8	5.000E+1
1.663E-1	1.231E-4	-9.002E+0	1.923E-8	5.000E+1
1.681E-1	1.278E-4	-8.965E+0	1.933E-8	5.000E+1
