Bandgap 4:28 PM 10/17/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
3.898E-1	1.046E-5	-1.147E+1	1.400E-7	5.000E+1
4.299E-1	3.187E-5	-1.035E+1	7.526E-8	5.000E+1
4.498E-1	5.476E-5	-9.812E+0	4.138E-8	5.000E+1
4.635E-1	7.830E-5	-9.455E+0	3.989E-8	5.000E+1
4.737E-1	1.021E-4	-9.189E+0	2.763E-8	5.000E+1
4.822E-1	1.262E-4	-8.978E+0	2.770E-8	5.000E+1
4.893E-1	1.509E-4	-8.799E+0	2.331E-8	5.000E+1
4.955E-1	1.752E-4	-8.650E+0	2.413E-8	5.000E+1
5.009E-1	1.995E-4	-8.520E+0	2.376E-8	5.000E+1
5.057E-1	2.239E-4	-8.404E+0	1.925E-8	5.000E+1
5.102E-1	2.484E-4	-8.301E+0	1.869E-8	5.000E+1
5.143E-1	2.733E-4	-8.205E+0	1.655E-8	5.000E+1
5.180E-1	2.979E-4	-8.119E+0	1.966E-8	5.000E+1
5.179E-1	2.979E-4	-8.119E+0	1.954E-8	5.000E+1
5.215E-1	3.224E-4	-8.040E+0	2.251E-8	5.000E+1
5.247E-1	3.469E-4	-7.966E+0	2.138E-8	5.000E+1
5.278E-1	3.715E-4	-7.898E+0	1.523E-8	5.000E+1
5.307E-1	3.966E-4	-7.832E+0	1.904E-8	5.000E+1
5.334E-1	4.213E-4	-7.772E+0	2.018E-8	5.000E+1
5.361E-1	4.459E-4	-7.715E+0	1.515E-8	5.000E+1
5.385E-1	4.705E-4	-7.662E+0	1.648E-8	5.000E+1
5.408E-1	4.952E-4	-7.611E+0	1.660E-8	5.000E+1
5.431E-1	5.203E-4	-7.561E+0	2.018E-8	5.000E+1
5.452E-1	5.450E-4	-7.515E+0	1.773E-8	5.000E+1
5.475E-1	5.697E-4	-7.470E+0	1.592E-8	5.000E+1
5.495E-1	5.944E-4	-7.428E+0	1.784E-8	5.000E+1
5.515E-1	6.190E-4	-7.387E+0	1.460E-8	5.000E+1
5.533E-1	6.442E-4	-7.347E+0	1.574E-8	5.000E+1
5.555E-1	6.738E-4	-7.303E+0	1.587E-8	5.000E+1
5.579E-1	7.087E-4	-7.252E+0	1.594E-8	5.000E+1
5.603E-1	7.431E-4	-7.205E+0	1.502E-8	5.000E+1
5.627E-1	7.829E-4	-7.153E+0	1.541E-8	5.000E+1
5.652E-1	8.227E-4	-7.103E+0	1.534E-8	5.000E+1
5.670E-1	8.528E-4	-7.067E+0	1.140E-8	5.000E+1
5.692E-1	8.925E-4	-7.021E+0	1.072E-8	5.000E+1
5.719E-1	9.416E-4	-6.968E+0	1.688E-8	5.000E+1
5.719E-1	9.416E-4	-6.968E+0	1.320E-8	5.000E+1
5.719E-1	9.416E-4	-6.968E+0	1.705E-8	5.000E+1
5.719E-1	9.416E-4	-6.968E+0	1.072E-8	5.000E+1
5.719E-1	9.416E-4	-6.968E+0	1.370E-8	5.000E+1
