Bandgap 2:27 PM 10/24/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
1.969E-1	1.993E-8	-1.773E+1	1.366E-7	5.000E+1
3.482E-1	8.097E-9	-1.863E+1	1.236E-7	5.000E+1
5.485E-1	3.363E-8	-1.721E+1	1.345E-7	5.000E+1
7.370E-1	1.149E-6	-1.368E+1	1.114E-7	5.000E+1
7.891E-1	2.084E-5	-1.078E+1	2.662E-8	5.000E+1
8.027E-1	4.438E-5	-1.002E+1	2.089E-8	5.000E+1
8.107E-1	6.845E-5	-9.589E+0	1.370E-8	5.000E+1
8.164E-1	9.277E-5	-9.285E+0	1.577E-8	5.000E+1
8.210E-1	1.177E-4	-9.047E+0	1.577E-8	5.000E+1
8.247E-1	1.422E-4	-8.858E+0	1.526E-8	5.000E+1
8.278E-1	1.668E-4	-8.699E+0	1.648E-8	5.000E+1
8.307E-1	1.914E-4	-8.561E+0	1.526E-8	5.000E+1
8.332E-1	2.160E-4	-8.440E+0	9.829E-9	5.000E+1
8.356E-1	2.412E-4	-8.330E+0	1.393E-8	5.000E+1
8.377E-1	2.659E-4	-8.232E+0	1.784E-8	5.000E+1
8.401E-1	2.954E-4	-8.127E+0	1.534E-8	5.000E+1
8.425E-1	3.303E-4	-8.015E+0	1.486E-8	5.000E+1
8.448E-1	3.652E-4	-7.915E+0	1.497E-8	5.000E+1
8.472E-1	4.050E-4	-7.812E+0	1.187E-8	5.000E+1
8.495E-1	4.443E-4	-7.719E+0	1.390E-8	5.000E+1
8.517E-1	4.841E-4	-7.633E+0	1.502E-8	5.000E+1
8.534E-1	5.190E-4	-7.564E+0	1.505E-8	5.000E+1
8.552E-1	5.589E-4	-7.490E+0	1.299E-8	5.000E+1
8.567E-1	5.939E-4	-7.429E+0	1.187E-8	5.000E+1
8.584E-1	6.337E-4	-7.364E+0	1.541E-8	5.000E+1
8.600E-1	6.731E-4	-7.304E+0	1.502E-8	5.000E+1
8.616E-1	7.130E-4	-7.246E+0	1.308E-8	5.000E+1
8.632E-1	7.528E-4	-7.192E+0	1.246E-8	5.000E+1
8.644E-1	7.927E-4	-7.140E+0	1.626E-8	5.000E+1
8.659E-1	8.326E-4	-7.091E+0	1.541E-8	5.000E+1
8.677E-1	8.827E-4	-7.033E+0	1.079E-8	5.000E+1
8.688E-1	9.119E-4	-7.000E+0	1.552E-8	5.000E+1
8.686E-1	9.119E-4	-7.000E+0	1.696E-8	5.000E+1
8.686E-1	9.119E-4	-7.000E+0	1.757E-8	5.000E+1
8.687E-1	9.119E-4	-7.000E+0	1.460E-8	5.000E+1
