Bandgap 2:54 PM 10/24/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
1.971E-1	1.183E-8	-1.825E+1	1.317E-7	5.000E+1
3.970E-1	2.616E-8	-1.746E+1	1.343E-7	5.000E+1
5.720E-1	2.492E-6	-1.290E+1	9.517E-8	5.000E+1
6.197E-1	1.775E-5	-1.094E+1	3.553E-8	5.000E+1
6.375E-1	3.601E-5	-1.023E+1	2.276E-8	5.000E+1
6.504E-1	5.960E-5	-9.728E+0	1.966E-8	5.000E+1
6.593E-1	8.359E-5	-9.390E+0	1.370E-8	5.000E+1
6.663E-1	1.078E-4	-9.135E+0	1.721E-8	5.000E+1
6.720E-1	1.326E-4	-8.928E+0	1.320E-8	5.000E+1
6.769E-1	1.570E-4	-8.759E+0	1.449E-8	5.000E+1
6.811E-1	1.815E-4	-8.614E+0	1.497E-8	5.000E+1
6.848E-1	2.060E-4	-8.488E+0	1.515E-8	5.000E+1
6.882E-1	2.305E-4	-8.375E+0	1.486E-8	5.000E+1
6.914E-1	2.556E-4	-8.272E+0	1.460E-8	5.000E+1
6.943E-1	2.802E-4	-8.180E+0	1.574E-8	5.000E+1
6.970E-1	3.048E-4	-8.096E+0	1.283E-8	5.000E+1
6.994E-1	3.295E-4	-8.018E+0	1.521E-8	5.000E+1
7.018E-1	3.541E-4	-7.946E+0	1.609E-8	5.000E+1
7.040E-1	3.793E-4	-7.877E+0	7.392E-9	5.000E+1
7.061E-1	4.040E-4	-7.814E+0	1.541E-8	5.000E+1
7.080E-1	4.287E-4	-7.755E+0	1.460E-8	5.000E+1
7.100E-1	4.533E-4	-7.699E+0	6.101E-9	5.000E+1
7.118E-1	4.780E-4	-7.646E+0	1.541E-8	5.000E+1
7.137E-1	5.033E-4	-7.594E+0	9.829E-9	5.000E+1
7.153E-1	5.280E-4	-7.546E+0	1.308E-8	5.000E+1
7.169E-1	5.527E-4	-7.501E+0	1.541E-8	5.000E+1
7.185E-1	5.774E-4	-7.457E+0	1.486E-8	5.000E+1
7.199E-1	6.022E-4	-7.415E+0	1.505E-8	5.000E+1
7.214E-1	6.274E-4	-7.374E+0	9.333E-9	5.000E+1
7.232E-1	6.570E-4	-7.328E+0	1.194E-8	5.000E+1
7.248E-1	6.866E-4	-7.284E+0	1.446E-8	5.000E+1
7.269E-1	7.264E-4	-7.227E+0	1.728E-8	5.000E+1
7.288E-1	7.663E-4	-7.174E+0	1.468E-8	5.000E+1
7.308E-1	8.061E-4	-7.123E+0	1.326E-8	5.000E+1
7.322E-1	8.362E-4	-7.087E+0	1.526E-8	5.000E+1
7.340E-1	8.761E-4	-7.040E+0	1.502E-8	5.000E+1
7.362E-1	9.251E-4	-6.986E+0	1.526E-8	5.000E+1
7.362E-1	9.251E-4	-6.986E+0	1.390E-8	5.000E+1
7.362E-1	9.251E-4	-6.986E+0	1.497E-8	5.000E+1
7.361E-1	9.251E-4	-6.986E+0	1.468E-8	5.000E+1
7.361E-1	9.251E-4	-6.986E+0	1.421E-8	5.000E+1
7.361E-1	9.251E-4	-6.986E+0	1.421E-8	5.000E+1
