Bandgap 3:31 PM 10/17/2019
Junction Voltage	Junction Current	Log Current	Standard Deviation of Current	Data Points
1.153E-1	3.794E-5	-1.018E+1	2.556E-8	5.000E+1
1.493E-1	8.482E-5	-9.375E+0	1.845E-8	5.000E+1
1.697E-1	1.325E-4	-8.929E+0	1.390E-8	5.000E+1
1.846E-1	1.813E-4	-8.615E+0	1.526E-8	5.000E+1
1.963E-1	2.300E-4	-8.378E+0	1.140E-8	5.000E+1
2.060E-1	2.788E-4	-8.185E+0	1.534E-8	5.000E+1
2.145E-1	3.282E-4	-8.022E+0	1.446E-8	5.000E+1
2.217E-1	3.772E-4	-7.883E+0	1.539E-8	5.000E+1
2.283E-1	4.269E-4	-7.759E+0	1.072E-8	5.000E+1
2.341E-1	4.761E-4	-7.650E+0	1.486E-8	5.000E+1
2.395E-1	5.253E-4	-7.552E+0	1.393E-8	5.000E+1
2.445E-1	5.751E-4	-7.461E+0	1.621E-8	5.000E+1
2.491E-1	6.244E-4	-7.379E+0	1.246E-8	5.000E+1
2.534E-1	6.742E-4	-7.302E+0	1.468E-8	5.000E+1
2.574E-1	7.236E-4	-7.231E+0	1.347E-8	5.000E+1
2.611E-1	7.730E-4	-7.165E+0	1.429E-8	5.000E+1
2.647E-1	8.229E-4	-7.103E+0	1.393E-8	5.000E+1
2.682E-1	8.724E-4	-7.044E+0	1.387E-8	5.000E+1
2.713E-1	9.223E-4	-6.989E+0	1.049E-8	5.000E+1
2.744E-1	9.713E-4	-6.937E+0	1.594E-8	5.000E+1
2.744E-1	9.713E-4	-6.937E+0	1.721E-8	5.000E+1
2.744E-1	9.713E-4	-6.937E+0	1.484E-8	5.000E+1
2.744E-1	9.713E-4	-6.937E+0	9.333E-9	5.000E+1
